Nom_de_Domaine,have_IP,have_at,longueur,profondeur,nb_de_caractere_spec,redirection,http_ds_domaine,red_URL,whois,periode_de_vie,age_url,iframe,forwarding,label
alicdn,0,0,0,0,1,0,0,0,0,0,0,1,1,0
gnu,0,0,0,0,1,0,0,0,0,0,0,0,1,0
google,0,0,0,0,1,0,0,0,0,0,0,0,1,0
blogger,0,0,0,0,1,0,0,0,0,0,0,0,0,0
theatlantic,0,0,0,0,1,0,0,0,0,0,0,0,2,0
lavanguardia,0,0,0,0,1,0,0,0,0,0,0,0,1,0
icann,0,0,0,0,1,0,0,0,0,0,0,0,1,0
wix,0,0,0,0,1,0,0,1,0,0,0,0,0,0
espn,0,0,0,0,1,0,0,0,0,0,0,0,1,0
statista,0,0,0,0,1,0,0,0,0,0,0,0,1,0
over-blog,0,0,0,0,2,0,0,0,0,0,0,0,0,0
doubleclick,0,0,0,0,1,0,0,0,0,0,0,0,1,0
amzn,0,0,0,0,1,0,0,0,0,1,1,0,2,0
mozilla,0,0,0,0,1,0,0,0,0,0,0,0,3,0
clarin,0,0,0,0,1,0,0,0,0,0,0,0,1,0
nypost,0,0,0,0,1,0,0,1,0,0,0,0,0,0
yelp,0,0,0,0,1,0,0,0,0,0,0,0,1,0
amazon,0,0,0,0,1,0,0,0,0,0,0,0,1,0
weibo,0,0,0,0,1,0,0,0,0,0,0,0,2,0
yahoo,0,0,0,0,1,0,0,0,0,0,0,0,0,0
xbox,0,0,0,0,1,0,0,1,0,0,0,0,3,0
naver,0,0,0,0,1,0,0,0,0,0,0,0,2,0
ibm,0,0,0,0,1,0,0,0,0,0,0,0,6,0
discord,0,0,0,0,1,0,0,0,0,1,1,0,1,0
gizmodo,0,0,0,0,1,0,0,0,0,0,0,0,0,0
quora,0,0,0,0,1,0,0,0,0,0,0,0,2,0
goodreads,0,0,0,0,1,0,0,0,0,0,0,0,1,0
unsplash,0,0,0,0,1,0,0,0,0,1,1,0,0,0
google,0,0,0,0,1,0,0,0,0,0,0,0,1,0
spiegel,0,0,0,0,1,0,0,0,0,1,1,0,1,0
fc2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
newsweek,0,0,0,0,1,0,0,0,0,0,0,0,1,0
ovh,0,0,0,0,1,0,0,0,0,0,0,0,1,0
yandex,0,0,0,0,1,0,0,1,0,0,0,0,0,0
economist,0,0,0,0,1,0,0,1,0,0,0,0,1,0
spotify,0,0,0,0,1,0,0,0,0,0,0,0,3,0
google,0,0,0,0,1,0,0,0,0,0,0,0,0,0
addtoany,0,0,0,0,1,0,0,0,0,0,0,0,1,0
pexels,0,0,0,0,1,0,0,0,0,1,1,0,1,0
dw,0,0,0,0,1,0,0,0,0,0,0,0,1,0
cbc,0,0,0,0,1,0,0,0,0,0,0,0,1,0
sciencedaily,0,0,0,0,1,0,0,0,0,0,0,0,0,0
huawei,0,0,0,0,1,0,0,0,0,0,0,1,1,0
yandex,0,0,0,0,1,0,0,0,0,0,0,0,2,0
twitch,0,0,0,0,1,0,0,0,0,1,1,0,1,0
